gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk
4525,741758,ARI,DET,RUSH,2,42,1,14,16,0,0,3,3,2,6,27,2,0,0,0,0,1,0,0,0,0,0,0
4525,741759,ARI,DET,PASS,3,43,1,13,34,0,0,3,3,3,4,29,2,1,1,0,0,1,0,0,0,1,0,0
4525,741760,ARI,DET,RUSH,4,38,1,12,51,0,0,3,3,1,10,44,3,0,1,0,0,1,0,0,0,0,0,0
4525,741761,ARI,DET,PASS,5,5,1,12,13,0,0,3,3,2,12,42,3,0,0,0,0,0,0,1,0,0,0,0
4525,741762,ARI,DET,PASS,6,8,1,12,8,0,0,3,3,3,12,42,3,0,1,0,0,0,0,0,1,0,0,0
4525,741763,DET,ARI,RUSH,1,31,1,12,0,0,0,3,3,1,10,74,4,0,0,0,0,1,0,0,0,0,0,0
4525,741764,DET,ARI,PASS,2,15,1,11,29,0,0,3,3,2,5,79,4,0,1,0,-7,0,0,0,1,0,0,0
4525,741765,ARI,DET,FGXP,0,3,1,11,14,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4525,741766,DET,ARI,KOFF,0,6,1,11,14,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4525,741767,DET,ARI,RUSH,1,39,1,11,8,0,7,3,3,1,10,15,1,0,0,0,0,1,0,0,0,0,0,0
4525,741768,DET,ARI,PASS,2,38,1,10,29,0,7,3,3,2,10,15,1,0,1,1,0,1,0,0,0,0,0,0
4525,741769,DET,ARI,PASS,3,9,1,9,51,0,7,3,3,3,8,17,1,0,1,1,0,0,0,0,0,0,0,0
4525,741770,ARI,DET,PUNT,0,9,1,9,42,7,0,3,3,4,8,17,1,0,0,0,0,0,0,0,0,0,0,0
4525,741771,ARI,DET,PASS,1,36,1,9,33,7,0,3,3,1,10,33,2,0,1,0,0,1,0,0,0,0,0,0
