pid,psr,trg,loc,yds,comp,succ,spk,dfb
743693,SB-1100,JM-3450,SM,4,1,1,0,
743694,SB-1100,JW-6560,DR,0,0,0,0,
743697,SB-1100,SD-0537,SM,2,1,0,0,
743698,SB-1100,AT-0350,SM,0,0,0,0,AA-0552
743703,DB-3800,MT-0875,SR,0,0,0,0,
743708,SB-1100,JM-3450,SR,3,1,0,0,
743710,DB-3800,TL-0825,SR,0,1,0,0,
743711,DB-3800,AK-0050,SL,3,1,0,0,
743714,DB-3800,AK-0050,SR,0,0,0,0,
743715,DB-3800,MT-0875,SR,6,1,1,0,
743716,DB-3800,CF-0650,DM,24,1,1,0,
743718,DB-3800,AK-0050,SR,0,0,0,0,
743719,DB-3800,CF-0650,SM,10,1,1,0,
743725,SB-1100,AT-0350,DL,35,1,1,0,
743726,SB-1100,JW-6560,DR,21,1,1,0,
743727,SB-1100,SD-0537,DR,18,1,1,0,
743733,DB-3800,AK-0050,SR,-6,1,0,0,
743736,SB-1100,DC-3550,SR,4,1,1,0,
743738,SB-1100,DC-3550,SL,2,1,0,0,
743739,SB-1100,AT-0350,DM,44,1,1,0,
743740,SB-1100,KR-1200,SM,6,1,1,0,
743741,SB-1100,SD-0537,DR,20,1,1,0,
743743,SB-1100,DC-3550,SR,0,0,0,0,CJ-2400
743744,SB-1100,KR-1200,SR,5,1,1,0,
743745,SB-1100,SD-0537,SR,2,1,1,0,
743750,SB-1100,SD-0537,DR,30,1,1,0,
743753,SB-1100,AT-0350,SM,4,1,1,0,
743755,SB-1100,DC-3550,SL,0,0,0,0,
743760,DB-3800,MT-0875,SR,0,0,0,0,
743763,SB-1100,AT-0350,SR,6,1,0,0,
743764,SB-1100,AT-0350,DR,24,1,1,0,
743767,SB-1100,AT-0350,SM,5,1,0,0,
743769,DB-3800,MT-0875,SR,14,1,1,0,
743771,DB-3800,TG-0900,SL,12,1,1,0,
743772,DB-3800,TL-0825,DR,52,1,1,0,
743774,DB-3800,BC-1850,SR,0,0,0,0,
743775,DB-3800,TG-0900,SL,0,0,0,0,
743778,SB-1100,SD-0537,SR,0,0,0,0,
743780,SB-1100,AT-0350,DR,27,1,1,0,
743786,SB-1100,KR-1200,SL,15,1,1,0,
743789,DB-3800,CF-0650,SL,5,1,1,0,
743790,DB-3800,BC-1850,SR,4,1,1,0,
743791,DB-3800,TG-0900,SL,6,1,1,0,
743792,DB-3800,MT-0875,SR,3,1,0,0,
743793,DB-3800,AK-0050,SL,15,1,1,0,
743794,DB-3800,MT-0875,DL,0,0,0,0,HS-0130
743796,DB-3800,TG-0900,DL,27,1,1,0,
743797,DB-3800,CF-0650,SL,7,1,1,0,
743799,DB-3800,AP-0700,SR,0,0,0,0,
743803,SB-1100,LT-0862,SL,7,1,1,0,
743805,SB-1100,JM-3450,SR,25,1,1,0,
743808,SB-1100,AT-0350,SR,6,1,0,0,
743811,DB-3800,BC-1850,SL,9,1,1,0,
743812,DB-3800,MT-0875,SL,14,1,1,0,
743813,DB-3800,MI-0100,SM,8,1,1,0,
743814,DB-3800,MI-0100,SR,9,1,1,0,
743815,DB-3800,MI-0100,SR,8,1,1,0,
743816,DB-3800,MI-0100,SR,11,1,1,0,
743817,DB-3800,AK-0050,SR,8,1,1,0,
743818,DB-3800,CF-0650,SM,8,1,1,0,
743828,TS-1450,DT-0900,SM,6,1,1,0,
743829,TS-1450,ES-0200,SL,4,1,1,0,
743831,TS-1450,JH-3625,SL,0,0,0,0,
743832,TS-1450,DT-0900,DR,0,0,0,0,
743837,PR-0300,TW-2875,SL,0,0,0,0,
743838,PR-0300,KA-0650,SM,0,0,0,0,
743840,TS-1450,CA-0750,SL,0,0,0,0,CH-2250
743842,TS-1450,DT-0900,SL,6,1,1,0,
743845,TS-1450,JC-2300,SL,0,0,0,0,
743846,TS-1450,JH-3625,SM,20,1,1,0,
743847,TS-1450,ES-0200,DL,0,0,0,0,
743849,TS-1450,BF-0950,SR,10,1,1,0,
743852,TS-1450,BF-0950,SR,5,1,1,0,
743857,PR-0300,KA-0650,SL,9,1,1,0,
743859,PR-0300,KA-0650,SL,0,0,0,0,CH-1500
743864,PR-0300,MG-1150,SM,11,1,1,0,
743868,TS-1450,ES-0200,SL,2,1,0,0,
743869,TS-1450,DT-0900,SM,0,0,0,0,TB-1850
743873,PR-0300,MG-1150,SR,3,1,1,0,
743876,PR-0300,AG-0500,SR,0,0,0,0,
743879,TS-1450,ES-0200,SL,0,0,0,0,KT-0650
743880,TS-1450,AD-1175,SL,9,1,1,0,
743884,TS-1450,AD-1175,SL,13,1,1,0,
743890,PR-0300,TB-1060,SR,6,1,1,0,
743891,PR-0300,KA-0650,SR,9,1,1,0,
743892,PR-0300,TW-2875,SM,14,1,1,0,
743895,PR-0300,BO-0150,SL,0,0,0,0,
743905,PR-0300,KA-0650,SM,0,0,0,0,
743907,TS-1450,DT-0900,SL,0,0,0,0,
743908,TS-1450,DT-0900,DR,29,1,1,0,
743912,TS-1450,BF-0950,SL,6,1,1,0,
743916,PR-0300,MG-1150,SL,-1,1,0,0,
743917,PR-0300,TW-2875,SL,9,1,0,0,
743919,TS-1450,DT-0900,SL,14,1,1,0,
743922,TS-1450,AD-1175,SR,12,1,1,0,
743924,TS-1450,ES-0200,SR,20,1,1,0,
743925,TS-1450,DT-0900,SR,12,1,1,0,
743927,TS-1450,CA-0750,SM,7,1,1,0,
743931,TS-1450,ES-0200,SR,0,0,0,0,
743934,PR-0300,MG-1150,SL,9,1,1,0,
743935,PR-0300,TW-2875,SM,9,1,1,0,
743937,PR-0300,AE-0550,SR,7,1,0,0,
743938,PR-0300,KA-0650,SR,4,1,0,0,
743942,TS-1450,BF-0950,SL,0,0,0,0,DK-0687
743943,PR-0300,KA-0650,SL,0,0,0,0,
743944,PR-0300,AG-0500,SM,11,1,1,0,
743945,PR-0300,TW-2875,SL,12,1,1,0,
743947,PR-0300,AE-0550,SM,11,1,1,0,
743948,PR-0300,KA-0650,SR,5,1,1,0,
743953,PR-0300,TB-1060,DL,38,1,1,0,
743956,TS-1450,VG-0300,DR,44,1,1,0,
743961,PR-0300,TW-2875,SL,10,1,1,0,
743962,PR-0300,TW-2875,DL,0,0,0,0,BR-1050
743963,PR-0300,TB-1060,DL,0,0,0,0,
743964,PR-0300,TB-1060,SR,-1,1,0,0,
743968,TS-1450,CA-0750,SR,0,0,0,0,
743970,PR-0300,MG-1150,SR,3,1,0,0,
743971,PR-0300,AG-0500,SM,6,1,1,0,
743975,PR-0300,MG-1150,SL,0,0,0,0,
743976,PR-0300,KA-0650,SL,8,1,1,0,
743977,PR-0300,KA-0650,SL,0,0,0,0,
743982,DW-1725,DH-3950,SL,0,0,0,0,
743983,DW-1725,BM-2350,DL,0,0,0,0,
743986,AD-0100,AG-1500,SL,1,1,0,0,
743987,AD-0100,GB-0350,SM,6,1,0,0,
743992,DW-1725,DH-3950,SR,5,1,0,0,
743996,AD-0100,,NL,0,0,0,0,
743998,AD-0100,GB-0350,SL,2,1,0,0,
744000,DW-1725,BM-2350,SR,8,1,1,0,
744003,DW-1725,DH-3950,SL,0,0,0,0,DD-0950
744013,DW-1725,TE-0350,SR,0,0,0,0,
744016,AD-0100,AG-1500,DM,50,1,1,0,
744017,AD-0100,BL-0100,SL,2,1,0,0,
744022,DW-1725,BM-2350,SR,2,1,0,0,
744024,DW-1725,LM-1150,SL,12,1,1,0,
744026,DW-1725,DH-3950,SL,0,0,0,0,AJ-1200
744031,AD-0100,AG-1500,SL,13,1,1,0,
744041,AD-0100,AG-1500,SL,0,0,0,0,
