uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
106297,4549,745680,NYJ,4,PUNT,2,4,40,10,11,7,2,2,1,30,5,17,5,3,15,0,62,FG
106298,4549,745692,OAK,5,KOFF,2,1,16,25,3,0,0,0,0,2,1,4,2,1,0,0,6,PUNT
106299,4549,745696,OAK,6,PUNT,2,1,29,96,3,1,1,0,0,4,3,0,0,0,0,0,4,TD
106300,4549,745701,NYJ,5,KOFF,2,0,21,25,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
106301,4549,745703,NYJ,6,KOFF,3,7,50,33,12,6,3,0,0,49,7,6,4,3,0,10,45,FG
106302,4549,745718,OAK,7,KOFF,3,3,39,16,7,5,2,1,1,59,4,10,3,3,15,0,84,TD
106303,4549,745727,NYJ,7,KOFF,3,3,42,25,6,2,0,1,0,2,1,8,5,2,5,0,15,PUNT
106304,4549,745735,OAK,8,PUNT,4,2,0,21,4,4,2,1,0,59,2,20,2,2,0,0,79,TD
106305,4549,745741,NYJ,8,KOFF,4,0,12,25,1,0,0,1,0,0,0,-7,1,0,0,0,-7,FUM
106306,4549,745742,OAK,9,FUM,4,0,10,82,1,1,0,1,1,0,0,1,1,1,17,0,18,TD
